14;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;16;10/15/1985;E;
15;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;5;10/15/1985;E;
16;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;10;10/15/1985;E;
17;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;2;10/15/1985;E;
18;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;21;10/15/1985;E;
19;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;26;10/15/1985;E;
20;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;11;10/15/1985;E;
21;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;6;10/15/1985;E;
22;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;1.86;340 V;20;10/15/1985;E;
23;DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA;VISO, LUIS R.;;0.06;340V;3;10/15/1985;A;
24;CALCULO DIFERENCIAL E INTEGRAL;GRANVILLE, WILLIAM;;0.18;515 G;12;10/15/1985;E;
29;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;1;10/15/1985;E;
30;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;18;10/15/1985;A;
31;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;16;10/15/1985;E;
32;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;0;10/15/1985;A;
33;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;12;10/15/1985;E;
34;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;20;10/15/1985;E;
35;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;16.00;346C;25;10/15/1985;E;PAGO POR PERDIDA
36;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;10;10/15/1985;E;
37;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;21;10/15/1985;E;
38;DERECHO PROCESAL CIVIL;CUENCA, HUMBERTO;;0.08;346C;21;10/15/1985;A;
48;MECANICA DE LOS FLUIDOS;STREETER, VICTOR;;0.14;620 S;6;10/15/1985;E;
54;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;9;10/16/1985;A;
55;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;2;10/16/1985;E;
56;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;3;10/16/1985;E;
57;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;1;10/16/1985;E;
58;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;1;10/16/1985;E;
59;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;0;10/16/1985;E;
60;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;0;10/16/1985;E;
61;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;0;10/16/1985;E;
62;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;1;10/16/1985;E;
63;INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO;LA ROCHE, HUMBERTO J.;;0.08;342L;7;10/16/1985;E;
66;CALCULO DIFERENCIAL E INTEGRAL;AYRES, FRANK;;0.09;515A;18;10/15/1985;E;
71;CALCULO DIFERENCIAL E INTEGRAL;AYRES, FRANK;;0.09;515 A;11;10/15/1985;E;
74;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;15;10/15/1985;E;
75;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;16;10/15/1985;E;
76;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;11;10/15/1985;E;
77;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;14;10/15/1985;E;
78;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;15;10/15/1985;E;
79;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;5;10/15/1985;E;
80;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;13;10/15/1985;E;
81;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;4;10/15/1985;E;
82;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;15;10/15/1985;E;
83;HISTORIA DE LAS DOCTRINAS ECONOMICAS;ROLL, ERIC;;0.14;330R;0;10/15/1985;E;
85;PROCESO METODOLOGICO EN LA INVESTIGACION;BAVARESCO, AURA;;6.40;001 B;35;10/15/1985;E;PAGO POR PERDIDA (30/10/2001)
86;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;EDILUZ;6.68;OO1 B;29;10/15/1985;E;PAGO POR PERDIDA
87;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;25;10/15/1985;E;
88;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;25;10/15/1985;E;
93;TECNICAS DE LA INVESTIGACION, LAS;BAVARESCO, AURA;;0.02;001B;1;10/15/1985;E;
94;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.68;330 F;21;10/15/1985;E;
95;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;1;10/15/1985;E;
96;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;9;10/15/1985;E;
97;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;0;10/15/1985;E;
98;DICCIONARIO MEDICO;DORLAND;;4.05;603 D;17;03/03/1994;E;
99;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;12;10/15/1985;E;
100;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;1;10/15/1985;E;
101;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;0;10/15/1985;E;
102;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.68;330 F;10;10/15/1985;A;
103;TEORIA MICROECONOMICA;FERGUNSON, C. E.;;0.13;330F;0;10/15/1985;E;
104;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.37;370 F;24;10/13/1993;E;
105;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;7;10/15/1985;E;
106;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;0;10/15/1985;E;
107;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;8;10/15/1985;E;
108;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;13;10/15/1985;E;
109;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;9;10/15/1985;E;
110;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;12;10/15/1985;E;
111;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;7;10/15/1985;E;
112;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;9;10/15/1985;E;
113;PEDAGOGIA DEL OPRIMIDO;FREIRE, PAULO;;0.04;370F;13;10/15/1985;E;
114;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;15;10/15/1985;E;
115;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;15;10/15/1985;E;
116;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;18;10/15/1985;E;
117;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;18;10/15/1985;E;
118;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;16;10/15/1985;E;
119;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;1;10/15/1985;E;
120;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;17;10/15/1985;E;
121;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;16;10/15/1985;E;
122;CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS;HARNECKER, MARTA;;0.05;335H;**;10/15/1985;E;
124;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;OO1P;16;10/15/1985;E;
125;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;16;10/15/1985;E;
126;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;7;10/15/1985;E;
127;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;30;10/15/1985;E;
128;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;0;10/15/1985;E;
129;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;7;10/15/1985;E;
130;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;12;10/15/1985;E;
131;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;7;10/15/1985;E;
132;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;14;10/15/1985;E;
133;METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES;PARDINAS, FELIPE;;0.07;001P;11;10/15/1985;E;
134;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;5;10/15/1985;E;
135;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;6;10/15/1985;E;
136;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;4;10/15/1985;E;
137;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;4;10/15/1985;E;
138;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;6;10/15/1985;E;
139;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;7;10/15/1985;E;
140;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;0;10/15/1985;A;
141;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;5;10/15/1985;E;
142;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;6;10/15/1985;E;
143;TEORIA DEL DESARROLLO CAPITALISTA;SWEEZY, PAUL M.;;0.11;320S;10;10/15/1985;E;
144;SUBDESARROLLO LATINOAMERICANO Y LA TEORIA DEL DESARROLLO, EL;SUNKEY, OSVALDO;;0.12;303S;8;10/15/1985;E;
